24-12-2015||satire||---------||A Micro-primer on Corruption||If you are caught in the act, just deny it.||
06-02-2015||postscript||---------||Steps against Violence :||For Sheema Kirmani, Pakistan’s most famous classical dancer, dance is a weapon against religious fanaticism and the terrorising of women.||Jyoti Punwani
06-02-2015||postscript||---------||The Big Fat Indian Stereotype :||They see curry on my plate And begin their sad monologue About how Indian I am  Wisecracks about my limited career options||Nazreen Fazal
06-02-2015||postscript||---------||The Uncommon Cartoonist :||R K Laxman, India’s best-known cartoonist, who passed away on January 26, aged 94, was a larger-than-life figure whose legendary status belies a strange quirkiness.||Nala Ponnappa
06-02-2015||postscript||---------||Anchoring the Past :||A plan to resurrect Mumbai’s eastern docklands and maritime history would be incomplete without promoting the Marine Museum at Nhava.||Anurag Mazumdar
06-02-2015||postscript||---------||Last Lines :||------------------||
06-02-2015||appointments/programmes/announcements||---------||Appointments/Programmes/Announcements :||------------------||
05-02-2015||glimpses from the past||---------||Israel and Tropical Africa : Political Economy of Technical Assistance||This article, published in the February 1965 issue of Economic Weekly, is an interesting take on technical assistance of Israel to tropical African countries - a few years before the 1967 war in Nigeria.||
06-02-2015||reports from the states||---------||Safai Karmis of Uttar Pradesh : Caste, Power and Politics||A study of the operation of the Safai Karmi Scheme of the Uttar Pradesh government reveals the apparent weakening of the age-old link between caste and occupation, with Other Backward Classes and even upper castes competing with Scheduled Castes to secure the job of a sanitation worker in villages. Another significant fact which comes to the fore, is the struggle for power in the safai karmi unions between OBC and the numerically superior SC workers, with the former trying to establish their dominance, reflecting the nature of caste politics at play in the state.||
30-01-2015||from 50 years ago||---------||From 50 Years Ago : Agro-Industrialists: An Emerging Class :||Vol XVII, Nos 5, 6 & 7, February 1965||
30-01-2015||strategic affairs||---------||'Modified' Foreign Policy : Interrogating Coherence, Finesse, Efficacy||Prime Minister Narendra Modi has invested much political capital in his foreign policy initiatives. Behind the spectacle of the pomp and show, the real test of foreign policy and strategy lies in coherence of design, finesse in execution, and efficacy of outcomes. The first of our new column on Strategic Affairs takes a preliminary stab at assessing whether New Delhi has been able to translate its desires into tangible outcomes.||Srinath Raghavan
30-01-2015||commentary||---------||Caste, Community and Crime : Explaining the Violence in Muzaffarpur||The violence against Pasmanda Muslims in Azizpur-Bahilwara in Muzaffarpur cannot be understood as an instance of conventional communal strife between Hindus and Muslims. This report from the ground indicates that different layers of caste, community, administrative and patronage networks have played a role in fostering the violence but also in containing it.||Mohammad Sajjad
