26/2/1977- ||review of management, february 1977||4365350||New Issue Market and Company Finance||This paper aims to examine the role of the new issue market [NIM] in India. Section I of the paper sketches the methodology and scope of the enquiry. Section II attempts to present the overall role of, and trends in, the funds raised from the NIM vis-a-vis corporate financing. Sections III and IV enquire into the differences in the role of the NIM by size of firms and their group association. Section V explores how the use of the NIM is influenced by the rate of growth. Sections VI and VII are concerned with industry and age differences in relation to NIM. Section VIII contains the concluding observations.||M. Y. Khan
1/2/1977- ||the economic crisis||4365326||Who Benefits from Central Government Expenditures?||Government expenditure has come to be accepted as a major instrument to reduce inequality and poverty and to change the pattern of consumption in a society such that it results in faster expansion of employment opportunities. An attempt is made in this paper to examine how far the pattern of expenditure of the government of India has been conducive to the achievement of these objectives.||Anand P. Gupta
19/3/1977- ||from our correspondents||4365412||Alternatives for the Poor||-------------------------------------||
25/6/1977- ||------||4365710||Easy Way Out||-------------------------------------||
31/12/1977- ||review of agriculture, december 1977||4366247||Transforming Traditional Agriculture: A Delayed Critique of Theodore Schultz||The debate on Theodore W Schultz's theories about transformation of traditional agriculture, which appeared in the pages of EPW more than eleven years ago, did not extend to tracing the Schultzian errors to their source. In fact, Schultz's characterisation of traditional agriculture was itself erroneous because there was an implicit assumption behind all that Schultz said of a certain mode of production - cultivation with hired labour. In thus implicitly attributing a spurious universality to capitalist farming, Schultz was being blind to agricultural reality in underdeveloped countries, besides failing to take into account the persistence of peasant farming and family farming in the most advanced capitalist countries like the United States.||S. H. Deshpande
29/10/1977- ||------||4366046||Bipartisan Accommodation||-------------------------------------||
24/12/1977- ||------||4366213||Hypocrisy Unbound..||-------------------------------------||
24/9/1977- ||review of agriculture, september 1977||4365952||Inter-State Variations in Types of Tenancy||Who leases out land and who leases in land? Is it true that people who take land on lease are farmers with small holdings? What are the different types of tenancies? What types of changes are taking place in different types of tenancies? Is it true that crop-sharing tenancy continues to grow in importance? What are the factors which explain inter-state variations in different types of tenancies? An attempt has been made in this paper to provide answers to these questions with the help of data collected by the NSS in the course of their census of Land Holding Surveys. Wherever necessary, an attempt has also been made to compare the NSS estimates with the Agricultural Census estimates. The analysis has been made with a focus on inter-state variations.||H. Laxminarayan,S. S. Tyagi
02/4/1977- ||from our correspondents||4365457||End to Congress Jagirdari||-------------------------------------||N. K. Singh
24/12/1977- ||------||4366210||Preparing Alibis||-------------------------------------||
08/1/1977- ||------||4365226||Companies: Using All Opportunities||-------------------------------------||Hansavivek
26/11/1977- ||from our correspondents||4366118||A Southern Waterloo||-------------------------------------||
30/7/1977- ||------||4365805||Universities as Government Departments||-------------------------------------||
25/6/1977- ||capital view||4365714||Changing Politics of Consensus||-------------------------------------||Romesh Thapar
16/7/1977- ||capital view||4365762||Politics, and the Direction||-------------------------------------||Romesh Thapar
29/10/1977- ||from our correspondents||4366053||Framework of Policy||-------------------------------------||
09/7/1977- ||from our correspondents||4365745||Victory for Workers||-------------------------------------||N. K. Singh
15/1/1977- ||from our correspondents||4365250||Calcutta's Primary Schools||-------------------------------------||Kalyan Chaudhuri
08/1/1977- ||special articles||4365234||On Welfare and Population Control in the Second-Best World||In most cases it is doubtful that the economist can indicate from the viewpoint of social efficiency that population limitation was or was not worthwhile for a particular country. But given a complex set of national objectives the picture would become, paradoxically, clearer. To clarify it further there is much to be gained from some research in particular economies. That way some Second-Best observations may be made with a bearing on policy: for instance, given that we intend to reduce urban congestion without forced migration and without infrastructural expenditure, will a reduction in birth-rate in urban areas serve, or merely encourage a greater inflow of migrants to meet the same labour demand? If the latter, should we concentrate on reducing the birth-rate in the rural out-migration regions? Surely these are the more pertinent areas of investigation, in the realm of the Second-Best? And yet the criticism is heard: that way you divert attention from the First-Best. You make population appear the only problem. The real problems are quietly forgotten. That is why I insist that the economist spell out the objectives he is assuming. It would be a service to the world if governments were to do the same. But, curiously, they are ashamed to do so. How often does a government admit to giving heavy weighting to the views of industrially influential members of its society, as part of its national programme? A programme both to clothe the poor, and not offend big business. Why are we not simply honest to our gods?||Nigel R. Crook
